20-05-2023 11:41:22 $ Using device='cuda'
20-05-2023 11:41:32 $ Experiment 1/3
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 11:44:09 $ loss = 4.03, ranking_loss = 0.27, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 2.27, accuracy = 0.59
20-05-2023 13:43:54 $ loss = 3.75, ranking_loss = 0.08, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.20, accuracy = 1.00
20-05-2023 13:48:12 $ loss = 3.69, ranking_loss = 0.07, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.15, accuracy = 1.00
20-05-2023 13:52:18 $ loss = 3.65, ranking_loss = 0.07, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.11, accuracy = 1.00
20-05-2023 13:56:19 $ loss = 3.61, ranking_loss = 0.06, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.08, accuracy = 1.00
20-05-2023 14:00:17 $ loss = 3.58, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.06, accuracy = 1.00
20-05-2023 14:04:17 $ loss = 3.55, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.05, accuracy = 1.00
20-05-2023 14:08:23 $ loss = 3.55, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.04, accuracy = 1.00
20-05-2023 14:12:22 $ loss = 3.54, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.03, accuracy = 1.00
20-05-2023 14:16:22 $ loss = 3.54, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.03, accuracy = 1.00
20-05-2023 14:20:19 $ loss = 3.53, ranking_loss = 0.03, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.02, accuracy = 1.00
20-05-2023 14:22:06 $ Experiment 3/3
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=KurtosisLoss, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 14:24:23 $ loss = 4.00, ranking_loss = 0.63, regularization_loss = 0.00, independence_loss = 1.09, classification_loss = 2.28, accuracy = 0.32
20-05-2023 14:28:22 $ loss = 2.59, ranking_loss = 0.26, regularization_loss = 0.00, independence_loss = 0.03, classification_loss = 2.30, accuracy = 0.33
20-05-2023 14:32:27 $ loss = 2.53, ranking_loss = 0.21, regularization_loss = 0.00, independence_loss = 0.02, classification_loss = 2.30, accuracy = 0.36
20-05-2023 14:36:29 $ loss = 2.54, ranking_loss = 0.21, regularization_loss = 0.00, independence_loss = 0.02, classification_loss = 2.30, accuracy = 0.34
20-05-2023 14:40:31 $ loss = 2.52, ranking_loss = 0.21, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.18
20-05-2023 14:45:07 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.14
20-05-2023 14:49:48 $ loss = 2.52, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.14
20-05-2023 14:54:27 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.12
20-05-2023 14:59:09 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.11
20-05-2023 15:03:28 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.12
20-05-2023 15:07:41 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.11
20-05-2023 15:11:59 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.11
20-05-2023 15:16:12 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.11
20-05-2023 15:20:18 $ loss = 2.52, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.02, classification_loss = 2.30, accuracy = 0.12
20-05-2023 15:24:32 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 2.30, accuracy = 0.10
20-05-2023 15:28:37 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.10
20-05-2023 15:32:43 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.11
20-05-2023 15:36:47 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 2.30, accuracy = 0.10
20-05-2023 15:40:48 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.01, classification_loss = 2.30, accuracy = 0.10
20-05-2023 15:44:51 $ loss = 2.51, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 2.30, accuracy = 0.10
